,id,coin,address,tag,method,txid,size,fee,status,time,notes,destinationName,sentTime,confirmedTime,confirmations,account,exchange
25,20863095,BTC,"{'address': '337ne45ueXx2iAR1gNAqxnwsCGuLquCLnh', 'tag': None, 'method': 'btc', 'coin': None}",,btc,f579fd1ee830af1204bf4b42a9afa4bb8d1295b0bbde33967e31e317ce893f07,5.26,0.0,confirmed,2022-05-15T01:00:07.355930+00:00,,,2022-05-15T01:25:29+00:00,2022-05-15T01:40:21.161716+00:00,2.0,10003,ftx
26,20802563,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,6d166e8b5ec60c73bdf1d6a10a603205cfdc8fdd1e23c5b5520498acdfec962c,70.0,0.0,confirmed,2022-05-14T06:44:17.585159+00:00,,,2022-05-14T06:44:17.595966+00:00,2022-05-14T06:46:18.302241+00:00,3.0,10003,ftx
27,20783357,XRP,"{'address': 'rPFXvVo2fYXVPdV9gCHQouHsMgMhQ2aUwM', 'tag': '3680179910', 'method': 'xrp', 'coin': None}",,xrp,B28F59279A037B38555F73AA2270F8A566A1602716C6877A33AEBC2D57999669,6837.793668,0.0,confirmed,2022-05-14T01:13:37.977958+00:00,,,2022-05-14T01:10:41+00:00,2022-05-14T01:15:38.085973+00:00,1.0,10003,ftx
28,20781412,ETH,"{'address': '0xaB4Bfe506a3Cb36ADDf97678293bD429B9951726', 'tag': None, 'method': 'eth', 'coin': None}",,eth,0x55a5fc7ba4dbeeb0c48f1dc67f079a1c988ba1389ceb25bb91dc64578ecedf2b,0.15,0.0,confirmed,2022-05-14T00:27:20.033870+00:00,,,2022-05-14T00:27:00+00:00,2022-05-14T00:30:52.821584+00:00,11.0,10003,ftx
29,20581505,XRP,"{'address': 'rPFXvVo2fYXVPdV9gCHQouHsMgMhQ2aUwM', 'tag': '3680179910', 'method': 'xrp', 'coin': None}",,xrp,D17F6023F3FBBA7136521D54ED6FD2176608755870D0B9617358D20E2BADCD02,79225.97343,0.0,confirmed,2022-05-12T01:20:51.824588+00:00,,,2022-05-12T01:16:22+00:00,2022-05-12T01:22:51.971334+00:00,1.0,10003,ftx
30,20581422,LUNA,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,2df224d997462d6a818465228d9692abd1148cf60434c187ea786a1e86098242,205.974917,0.0,confirmed,2022-05-12T01:19:25.817488+00:00,,,2022-05-12T01:19:25.846035+00:00,2022-05-12T01:21:25.937830+00:00,3.0,10003,ftx
31,20434692,BTC,"{'address': '337ne45ueXx2iAR1gNAqxnwsCGuLquCLnh', 'tag': None, 'method': 'btc', 'coin': None}",,btc,46fa1c3f3f3d8b23615980448c19910704032eef4fb761e70e428541ac217abc,1.82890754,0.0,confirmed,2022-05-10T15:12:39.524852+00:00,,,2022-05-10T15:18:59+00:00,2022-05-10T15:21:13.097561+00:00,2.0,10003,ftx
32,20434573,XRP,"{'address': 'rPFXvVo2fYXVPdV9gCHQouHsMgMhQ2aUwM', 'tag': '3680179910', 'method': 'xrp', 'coin': None}",,xrp,3FA8F4396A00C5F2A7D2D355663C833F1EC08A10CDF0A51DE6E0DF9B7ACA2BA9,2622.435892,0.0,confirmed,2022-05-10T15:11:57.116248+00:00,,,2022-05-10T15:11:31+00:00,2022-05-10T15:13:57.618310+00:00,1.0,10003,ftx
33,20398818,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,bfbb17729562505ef538a8d72dfe6b5dc638ab69a7c8a49ee068b7fff79e2305,93800.0,0.0,confirmed,2022-05-10T07:15:30.785253+00:00,,,2022-05-10T07:15:30.819382+00:00,2022-05-10T07:17:31.570931+00:00,3.0,10003,ftx
34,20387390,MATIC,"{'address': '0x8E59558B73A92572834169Dc0096df9E42168B57', 'tag': None, 'method': 'erc20', 'coin': None}",,matic,0x9f062f2fbe27b87f8a88446fb2092e15570f3453b6c07d15229063510067a90a,571680.0,0.0,confirmed,2022-05-10T04:16:47.775417+00:00,,,2022-05-10T04:16:19+00:00,2022-05-10T04:18:48.042422+00:00,24.0,10003,ftx
